product,avg_ibp,std_ibp,avg_fbp,std_fbp,n_tests
192380-13optttt,37.719,6.208397538817888,78.6885,62.036599233839375,2
193112-66,37.828,,42.456,,1
190092-29 compoptt,37.853,,135.378,,1
2469-1zzzxxy,37.918,,139.604,,1
192385-15otttt,37.977,,142.415,,1
193961-7AAA,37.979,,165.01,,1
193112-6bb,38.054,,129.861,,1
188078-4lol,38.086,,109.353,,1
182335-399,38.178,0.0,154.25,0.0,3
192648-9OPT>>,38.306,,128.317,,1
190645-52zzz,38.376,,126.385,,1
176015-1B,38.385,,152.404,,1
191785-12 opppppp,38.399,,145.502,,1
191851-1aa,38.461,,169.134,,1
190884-6 ez,38.462,,155.782,,1
194773-6b,38.469,,172.108,,1
188573-8x,38.637,,144.845,,1
191979-23 ez,38.638,,127.963,,1
RFG 2416X,38.724,,144.606,,1
182534-8,38.738,,167.449,,1
184174-4,38.825,,132.412,,1
193234-1opt==,38.835,,116.166,,1
AUTO G1+G2 GAS EVAP,38.877911813036334,16.675224026027067,131.08016961840426,32.50286101281733,5477
177843-6a,39.079,0.0,143.308,0.0,4
GAS EVAP HIGH EP,39.181,,269.792,,1
191541-9optttttt,39.185,0.14424978336205363,111.77199999999999,1.0974297244015314,2
179015-6a,39.377,,128.022,,1
194463-19opt;;;,39.394,,172.072,,1
192448-2SPAVID,39.436,,148.3,,1
179271-25qqqq3,39.665,0.0,142.087,0.0,4
GAS QCB,39.757,,151.143,,1
192448-6RIZZLER,39.807,,148.481,,1
dqc,39.8725,0.08273149339882166,152.311,1.7833233021524666,2
179398-2ertret,39.9,0.0,123.801,0.0,4
177730-6aaaa,39.924,0.0,145.891,0.0,5
QC444,39.939,,152.008,,1
GASOLINE,40.024,0.5345727265770301,154.027,3.426639461630002,2
RFG2477-1CCC,40.075900000000004,6.380218307828938,140.153,18.562340674961586,10
176378-3,40.094,,145.596,,1
192392-22abc,40.124,2.6898341956336282,159.68200000000002,26.997336905702358,2
192448-4POOP,40.272,,148.742,,1
178643-9aaaa,40.277,0.0,145.613,0.0,3
182377-10rrryy,40.325,0.0,121.576,0.0,2
RFG-2411-1CCC,40.394999999999996,18.188200625680373,107.111,41.65848890682427,2
RFG-2384x,40.4245,0.2269812767608803,134.5655,1.9608071042302835,2
Camin Gas RVP +9.5..,40.496,,146.099,,1
107972-5 ez,40.589,0.0,123.459,0.0,2
179398_16BBB,40.617,0.0,146.682,0.0,3
192448-1SPAVID,40.704,,148.452,,1
193234-11opt<<,40.706,,117.319,,1
