product,avg_ibp,std_ibp,avg_fbp,std_fbp,avg_t50,std_t50,avg_test_duration,std_test_duration
182377-10rrryy,40.325,0.0,121.576,0.0,83.473,0.004242640687119446,35.03333333333333,0.0
182386-10,27.102,0.0,74.016,0.0,47.4015,0.002121320343559723,34.63333333333333,0.0
182387-10,26.3,0.0,81.821,0.0,50.24333333333333,0.0028867513459455035,34.5,0.0
182424-8,29.155,0.0,47.092999999999996,0.0,44.72533333333333,0.004618802153517523,34.516666666666666,0.0
182425-9,26.118,0.0,144.164,0.0,66.83449999999999,0.006363961030674145,33.43333333333333,0.0
182429-112qqqq,28.909000000000002,0.0,129.849,0.0,83.73,0.0,35.93333333333333,0.0
182430-7 ks,27.765,0.0,147.714,0.0,66.5835,0.00494974746830937,34.13333333333333,0.0
182464-14,30.067,,164.201,,79.488,,36.3,
182464-15,31.62,,126.922,,87.139,,34.25,
182464-20,30.456,,161.856,,79.161,,37.85,
182534-8,38.738,,167.449,,95.204,,36.7,
182690-1a,27.486,,44.451,,42.116,,35.583333333333336,
182786-3B,17.948,,138.515,,87.348,,34.68333333333333,
182872-7loloo,41.597,,117.519,,79.126,,34.55,
182976-88,41.888,,44.83,,54.689,,36.5,
183005-11,26.553,,72.378,,46.569,,36.05,
183096-23,43.446,,127.79,,85.594,,34.65,
183112-8rrttty,25.368,,149.695,,66.237,,31.966666666666665,
183115-19,24.345,,83.023,,50.321,,36.18333333333333,
183159-7,27.201,,43.042,,41.743,,35.31666666666667,
183215-12opt,23.126,,161.201,,67.618,,31.83333333333333,
183322-38 ez,40.877,,137.072,,84.985,,34.516666666666666,
183323°5LOLLL%,33.588,,138.398,,80.207,,34.983333333333334,
183451°14QSQS,32.433,,161.977,,107.524,,34.28333333333333,
183506-1,27.066,,42.137,,41.517,,36.3,
183535-14,28.224,,146.848,,67.483,,35.25,
183542-6qqqwwee,25.515,,150.922,,100.71,,33.583333333333336,
183696-45b ez,35.726,,123.416,,80.673,,35.583333333333336,
183708-5,50.615,,55.26,,63.13,,35.13333333333333,
183732-9,27.095,,73.932,,46.751,,36.53333333333333,
183767-6,24.552333333333333,1.222383873148422,90.19333333333333,57.595454736752735,51.198,13.938361309709258,33.82222222222222,1.4166013056817566
184016-10 ez,20.006,,157.22,,95.696,,33.65,
184016-11bbbb,22.004,,152.708,,78.558,,34.63333333333333,
184016-8 10%opt,22.82,,160.555,,69.318,,34.36666666666667,
184016-9 opt,24.886,,159.944,,80.043,,32.85,
184138_82,33.283,,127.29,,81.243,,35.13333333333333,
184174-4,38.825,,132.412,,75.454,,71.08333333333333,
184174-85,41.09,,131.24,,85.973,,36.15,
184183-144,43.224,,45.032,,55.124,,35.5,
184247-7GGG,24.395,,149.852,,66.608,,33.7,
184271-24,26.79,,73.432,,47.521,,34.93333333333333,
184324-15 ez,26.205,,160.267,,67.682,,34.28333333333333,
184365-3,61.343,,149.65,,122.103,,36.46666666666667,
184418-2 opppppp,27.486,,76.499,,47.13,,32.766666666666666,
184477-3,34.654,,163.996,,112.397,,34.86666666666667,
184530-6GGG,21.612,,164.206,,92.833,,33.05,
184574-6,55.06,,139.785,,111.821,,35.86666666666667,
184579-53A,36.491,,146.674,,88.251,,33.78333333333333,
184579-83 ez,37.338,,138.624,,90.37,,33.666666666666664,
184579-86AAA,33.729,,142.459,,92.918,,33.3,
184580-6,23.923,,150.971,,90.099,,34.81666666666667,
184613-7,33.947,,151.721,,77.383,,36.8,
184678-2,26.019,,152.701,,64.697,,35.9,
184719-14 ez,24.789,,145.373,,65.863,,35.43333333333333,
184845-18 ez,27.053,,151.885,,80.989,,35.06666666666667,
184853-1 ez,28.448,,48.546,,44.006,,33.083333333333336,
184863-1 ez,29.946,,126.585,,82.99,,38.05,
184905-6,60.79,,169.383,,81.399,,38.03333333333333,
185000-1,26.742,,69.831,,46.191,,35.7,
185120-10a,26.605,,75.009,,46.093,,37.25,
185425-9a,29.457,0.0,152.641,0.0,66.773,0.0,34.35,0.0
185427-2a,55.674,0.0,132.212,0.0,94.53514285714286,0.0022677868380563296,34.63333333333333,0.0
185461-13 ez,35.915,0.0,150.744,0.0,72.888,0.0,35.75,0.0
185465-6a,27.158,0.0,160.094,0.0,89.095,0.0,32.5,0.0
185498-22a,24.265,,155.715,,65.82,,33.38333333333333,
1855-1 OPT,27.356,,149.356,,96.028,,33.21666666666667,
185590-10GG,71.836,,124.406,,103.498,,28.98333333333333,
185599-1a,25.345,,155.084,,66.537,,34.0,
185642-8a,26.86,0.0,155.679,0.0,66.594,0.0,35.45,0.0
185725-7 ez,26.895,,71.796,,46.387,,35.31666666666667,
185745-6bj,28.262,0.0,63.69100000000001,0.0,45.106,0.0,35.61666666666667,0.0
185834-6,25.256,,69.709,,45.298,,34.21666666666667,
185900-2aa,30.756,,163.921,,89.484,,33.35,
185914-5aa,31.265,,153.655,,90.083,,34.6,
185929-1222,30.442,,162.977,,92.157,,33.0,
185947-2aa,23.878,,101.559,,62.439,,34.1,
186064-22,32.861,,126.754,,92.469,,34.53333333333333,
186217-6 ez,41.202,,44.319,,54.051,,36.45,
186256-21a,26.698,,160.43,,98.719,,31.23333333333333,
1864-1a,22.689,0.0,148.644,0.0,91.885,0.0,33.06666666666667,0.0
186422-9 ez,27.4,,69.331,,45.984,,34.11666666666667,
186479-22 ez,28.194,0.0,157.788,0.0,89.53514285714286,0.002267786838055449,34.21666666666667,0.0
186492-1opt,29.449,,47.138,,44.89,,32.733333333333334,
