merged_product,avg_ibp,avg_fbp,avg_t50
191237-29 ez,35.143,136.266,64.632
191237-29zzz,35.145,148.031,66.641
191258-26a,31.091,93.687,52.648
191283-15x,35.546,137.485,83.036
191286-76a,33.639,133.248,81.503
191304-12A,149.788,156.224,162.999
191322-17x,27.5,74.524,47.576
191331-13 opppp,27.93,79.211,48.967
191332-6x,34.574,131.082,95.578
191353-26A,31.67,119.885,56.885
191357-12a,45.794,130.111,99.121
191393-6optz,35.25,103.743,69.544
191403-6 ez,26.718,65.315,43.236
191408-1x,37.412,109.049,83.464
191467-17OPTTTT,27.71,81.779,49.041
191504-11A,52.975,130.86,67.274
191506-77,27.044,79.99,48.495
191508-41optt,34.707,129.093,80.154
191541-9optttttt,39.185,111.772,97.243
191548-6OPTTTT,35.776,135.033,84.523
191549-32 ez,34.5185,150.999,80.9725
191557-25 deeeeeeee,49.27,155.941,98.214
191579-49CCC,114.898,134.382,133.238
191595-19b oopp,42.878,44.496,54.951
191620-33rrr,35.711,138.862,65.067
191656-7 ez,35.87,138.661,67.048
191711-19,27.759,77.363,48.404
191712-17 opppp,37.012,102.575,105.515
191732-6 oppppp,35.834,127.251,88.172
191738-20 opppp,35.111,137.159,65.923
191743-9 ez,52.245,113.27,99.853
191760-6 ez,31.686,78.677,54.35
191760-7HB,35.481,150.204,65.649
191764-6otyppp,28.178,84.591,48.801
191767-2A,34.526,137.329,65.577
191768-6optt,72.616,141.899,112.196
191769-18 oppppp,42.184,44.588,54.733
191785-12 opppppp,38.399,145.502,91.093
191829-122,28.293,87.836,47.431
191839-1aaa,42.245,111.827,78.795
191851-1aa,38.461,169.134,90.019
191878-16AA,34.68,132.762,83.54
191883-7 oppppppp,42.4475,44.6305,54.8595
191889-7x,59.977,86.291,78.078
191901-37 opppt,34.96,136.413,65.87
191928-6AAA,32.585,151.924,69.14
191937_14ABC,32.588,139.603,81.089
191947-18 opppppp,28.586,76.41,49.602
191953-71AAA,188.801,341.973,284.556
191974-6 so,35.495,142.6,89.426
191978-22 ez,36.171,145.716,79.381
191979-16opywww,32.059,128.532,74.054
191979-23 ez,38.638,127.963,74.866
192039-12so,35.435,136.264,90.069
192057-2 opppppp,35.182,119.104,65.519
192103-6so,36.068,133.842,95.829
192117-200,42.975,158.636,91.929
192158-26x,34.573,124.339,65.758
192178-2x,27.487,167.207,65.506
192183_111A,35.051,125.721,80.298
192193-3 ez,34.246,137.159,66.388
192208-6,27.837,75.825,47.193
192211-6,37.222,147.571,88.986
192216-7leo,27.566,75.62,47.29
192217-12x,27.421,79.78,46.159
192217-6AAA,27.075,79.056,45.108
192219-9optrrrrr,33.9,131.446,83.21
192232-20 oppppp,33.607,148.251,91.211
192234-38 oppppp,42.708,122.045,83.58
192246-6AA,35.977,149.764,90.622
192264-24AA,35.162,130.831,66.654
192309-5opttttt,31.244,58.879,48.486
192315+7 EZ,54.403,132.155,102.066
192328-77,33.914,140.459,66.617
192329-9,28.246,78.723,49.112
192379-15BBB,34.589,148.317,83.498
192379-9A,35.923,142.95,83.977
192380-13optttt,42.109,122.555,81.965
192383-88AAAAA,36.171,131.511,86.793
192383-88X,36.084,133.388,88.506
192385-15otttt,37.977,142.415,112.347
192392-22abc,40.124,159.68200000000002,103.3045
192394-22CCC,33.788,144.164,93.466
192428-1 oppp ez,37.296,115.801,68.77
192429-7 spk optttt,35.972,157.354,69.198
192433-1optttttt,34.668,135.166,65.498
